Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q13625;TP53BP2;9606;Q13432;UNC119;9606;0.286;16169070 
Q15717;ELAVL1;9606;P04637;TP53;9606;0.21;14517280 
Q13501;SQSTM1;9606;P04637;TP53;9606;0.623;16793543 25144556 27031960 
P51449;RORC;9606;P04637;TP53;9606;0.126;28514442 
Q13569;TDG;9606;P04637;TP53;9606;0.309;10961991 
Q13572;ITPK1;9606;P04637;TP53;9606;0.309;12324474 
P51532;SMARCA4;9606;P04637;TP53;9606;0.814;21900401 18303029 11950834 17666433 
P55060;CSE1L;9606;P04637;TP53;9606;0.569;17719542 
Q13574;DGKZ;9606;P04637;TP53;9606;0.569;23606744 
Q15303;ERBB4;9606;P04637;TP53;9606;0.21;20858735 
P55316;FOXG1;9606;P04637;TP53;9606;0.126;25609649 
P56273;MDM2;8355;P04637;TP53;9606;0.309;8875929 
Q13625;TP53BP2;9606;P56279;TCL1A;9606;0.454;25416956 
Q13619;CUL4A;9606;P04637;TP53;9606;0.21;16861890 
Q13620;CUL4B;9606;P04637;TP53;9606;0.21;24452595 
Q13625;TP53BP2;9606;O08724;IRS3;10116;0.21;17965023 
Q13625;TP53BP2;9606;O14654;IRS4;9606;0.21;17965023 
Q13625;TP53BP2;9606;O15265;ATXN7;9606;0.454;16713569 
Q13625;TP53BP2;9606;O15350;TP73;9606;0.309;18275817 
Q13625;TP53BP2;9606;O95996;APC2;9606;0.583;10646860 
Q13625;TP53BP2;9606;P29991;P29991;31635;0.183;21911577 
Q13625;TP53BP2;9606;P46936;YAP1;9031;0.454;11278422 
Q13625;TP53BP2;9606;P49790;NUP153;9606;0.21;24855949 
Q13625;TP53BP2;9606;P57075;UBASH3A;9606;0.454;25416956 
Q13625;TP53BP2;9606;P61970;NUTF2;9606;0.21;24855949 
Q13625;TP53BP2;9606;P62875;POLR2L;9606;0.454;25416956 
Q13625;TP53BP2;9606;Q07817;BCL2L1;9606;0.848;18719108 21900206 
Q13625;TP53BP2;9606;Q13564;NAE1;9606;0.21;12694406 
Q15435;PPP1R7;9606;Q13625;TP53BP2;9606;0.332;unassigned1312 27173435 
Q96DC9;OTUB2;9606;Q13625;TP53BP2;9606;0.454;25416956 
